zip_code,trade_name,search_query,rank,matched_name,price,size,unit_price,unit_price_basis,url,status,date,timestamp
43537,ONIONS WHITE JUMBO BULK,white onion,1,White Onion,$1.49,1.49 each,$1.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:19:30Z
43537,ONIONS WHITE JUMBO BULK,white onion,2,White Onion,,,,,,ok-dom,2026-05-08,2026-05-08T17:19:30Z
43537,ONIONS WHITE JUMBO BULK,white onion,3,Original price,$1.49,1.49 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:19:30Z
43537,CABBAGE GREEN MEDIUM RPC,green cabbage,1,"Green Cabbage, lb",$2.48,2.48 each,$0.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:20:19Z
43537,CABBAGE GREEN MEDIUM RPC,green cabbage,2,"Green Cabbage, lb",,,,,,ok-dom,2026-05-08,2026-05-08T17:20:19Z
43537,CABBAGE GREEN MEDIUM RPC,green cabbage,3,Original price,$2.48,2.48 each,$1.00,/ea,,ok-dom,2026-05-08,2026-05-08T17:20:19Z
43537,CUCUMBERS,cucumber,1,Seedless English Greenhouse Cucumber,$0.88,,,,,ok-dom,2026-05-08,2026-05-08T17:21:09Z
43537,CUCUMBERS,cucumber,2,Seedless English Greenhouse Cucumber,,,,,,ok-dom,2026-05-08,2026-05-08T17:21:09Z
43537,CUCUMBERS,cucumber,3,Sale price,$0.88,,,,,ok-dom,2026-05-08,2026-05-08T17:21:09Z
43537,APPLES GALA EURO 50 CT,gala apples,1,"Gala Apples, 3 lb",$4.69,3 lb,$1.56,/lb,,ok-dom,2026-05-08,2026-05-08T17:21:57Z
43537,APPLES GALA EURO 50 CT,gala apples,2,"Gala Apples, 3 lb",,3 lb,,,,ok-dom,2026-05-08,2026-05-08T17:21:57Z
43537,APPLES GALA EURO 50 CT,gala apples,3,Original price,$4.69,,,,,ok-dom,2026-05-08,2026-05-08T17:21:57Z
43537,GRAPES WHITE SDLS BAG,green seedless grapes,1,Green Seedless Grapes,$7.48,2.5 lb,$2.99,/lb,,ok-dom,2026-05-08,2026-05-08T17:22:46Z
43537,GRAPES WHITE SDLS BAG,green seedless grapes,2,Green Seedless Grapes,,,,,,ok-dom,2026-05-08,2026-05-08T17:22:46Z
43537,GRAPES WHITE SDLS BAG,green seedless grapes,3,Original price,$7.48,,,,,ok-dom,2026-05-08,2026-05-08T17:22:46Z
43537,GRAPES RED SDLS BAG,red seedless grapes,1,"Red Seedless Grapes, Bag",$6.98,2.5 lb,$2.79,/lb,,ok-dom,2026-05-08,2026-05-08T17:23:36Z
43537,GRAPES RED SDLS BAG,red seedless grapes,2,"Red Seedless Grapes, Bag",,,,,,ok-dom,2026-05-08,2026-05-08T17:23:36Z
43537,GRAPES RED SDLS BAG,red seedless grapes,3,Original price,$6.98,,,,,ok-dom,2026-05-08,2026-05-08T17:23:36Z
43537,GRAPES BLACK SDLS BAG,black seedless grapes,1,Black Seedless Grapes,$6.98,2.5 lb,$2.79,/lb,,ok-dom,2026-05-08,2026-05-08T17:24:24Z
43537,GRAPES BLACK SDLS BAG,black seedless grapes,2,Black Seedless Grapes,,,,,,ok-dom,2026-05-08,2026-05-08T17:24:24Z
43537,GRAPES BLACK SDLS BAG,black seedless grapes,3,Original price,$6.98,,,,,ok-dom,2026-05-08,2026-05-08T17:24:24Z
43537,PEPPERS BELL GREEN RPC,green bell pepper,1,Green Bell Pepper,$1.29,,,,,ok-dom,2026-05-08,2026-05-08T17:25:14Z
43537,PEPPERS BELL GREEN RPC,green bell pepper,2,Green Bell Pepper,,,,,,ok-dom,2026-05-08,2026-05-08T17:25:14Z
43537,PEPPERS BELL GREEN RPC,green bell pepper,3,Original price,$1.29,,,,,ok-dom,2026-05-08,2026-05-08T17:25:14Z
43537,POTATOES RUSSET,russet potatoes,1,"Russet Potatoes, 5 lb",$2.99,5 lb,$0.60,/lb,,ok-dom,2026-05-08,2026-05-08T17:26:03Z
43537,POTATOES RUSSET,russet potatoes,2,"Russet Potatoes, 5 lb",,5 lb,,,,ok-dom,2026-05-08,2026-05-08T17:26:03Z
43537,POTATOES RUSSET,russet potatoes,3,Original price,$2.99,,,,,ok-dom,2026-05-08,2026-05-08T17:26:03Z
43537,PEPPERS RED BELL,red bell pepper,1,Red Bell Pepper,$1.59,,,,,ok-dom,2026-05-08,2026-05-08T17:26:51Z
43537,PEPPERS RED BELL,red bell pepper,2,Red Bell Pepper,,,,,,ok-dom,2026-05-08,2026-05-08T17:26:51Z
43537,PEPPERS RED BELL,red bell pepper,3,Original price,$1.59,,,,,ok-dom,2026-05-08,2026-05-08T17:26:51Z
43537,TOMATOES HYDROPONIC,hydroponic tomato,1,Greenhouse Tomato,$1.29,1.29 each,$3.49,/lb,,ok-dom,2026-05-08,2026-05-08T17:27:40Z
